Dato,Resultat,Modstander,Spillested,Kamptype,Køn,Hold,Tilskuere,date
02-04-2023,7 - 0,Saudi Arabien,Stade de l'Idonniére,International turnering,Herrer,U16-landshold,300,2023-04-02
02-05-1973,1 - 1,Tjekkoslovakiet,Københavns Idrætspark,VM-kvalifikationskamp,Herrer,A-Landshold,21000,1973-05-02
02-05-1978,3 - 3,Portugal,Glostrup Stadion,Testkamp,Herrer,U19-landshold,400,1978-05-02
02-05-1979,0 - 2,Irland,Aviva Stadium,EM-kvalifikationskamp,Herrer,A-Landshold,35000,1979-05-02
02-05-1979,1 - 3,DDR,NA,Testkamp,Herrer,U21-landshold,3000,1979-05-02
02-05-1984,0 - 1,DDR,Brøndby Stadion,Testkamp,Herrer,U19-landshold,300,1984-05-02
02-05-1992,4 - 0,Frankrig,NA,EM-kvalifikationskamp,Kvinder,A-Landshold,0,1992-05-02
02-05-1994,1 - 0,Sverige,Espelunden Stadion,Testkamp,Kvinder,U17-landshold,0,1994-05-02
02-05-2000,1 - 3,Tjekkiet,NA,EM-slutrunde,Herrer,U17-landshold,0,2000-05-02
02-05-2000,2 - 2,Tyskland,NA,Piestany Cup,Herrer,U19-landshold,0,2000-05-02
02-05-2002,0 - 0,Sverige,Tingbergsvallen,Testkamp,Kvinder,U21-landshold,1899,2002-05-02
02-05-2004,0 - 0,Slovenien,NA,EM-kvalifikationskamp,Herrer,U19-landshold,400,2004-05-02
02-05-2011,2 - 0,Tjekkiet,Stadium of FK Púchov,International turnering,Herrer,U18-landshold,0,2011-05-02
02-06-1918,3 - 0,Sverige,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,25000,1918-06-02
02-06-1973,0 - 1,Sovjetunionen,NA,EM-slutrunde,Herrer,U19-landshold,0,1973-06-02
02-06-1981,2 - 0,Italien,Lyngby Stadion,Testkamp,Herrer,U21-landshold,1600,1981-06-02
02-06-1987,0 - 1,Tjekkoslovakiet,Hvidovre Stadion,EM-kvalifikationskamp,Herrer,U21-landshold,1500,1987-06-02
02-06-1993,4 - 0,Albanien,Parken,VM-kvalifikationskamp,Herrer,A-Landshold,39503,1993-06-02
02-06-1993,5 - 0,Albanien,Brøndby Stadion,EM-kvalifikationskamp,Herrer,U21-landshold,1200,1993-06-02
02-06-1995,0 - 0,Portugal,NA,International turnering,Herrer,U19-landshold,0,1995-06-02
02-06-1996,1 - 0,Ghana,Parken,Testkamp,Herrer,A-Landshold,20653,1996-06-02
02-06-2001,2 - 1,Tjekkiet,Parken,VM-kvalifikationskamp,Herrer,A-Landshold,41669,2001-06-02
02-06-2004,3 - 1,Rusland,Krylia Sovietov Stadion,Testkamp,Herrer,U20-landshold,0,2004-06-02
02-06-2005,1 - 0,Finland,Ratina Stadion,Testkamp,Herrer,A-Landshold,9238,2005-06-02
02-06-2007,0 - 3,Sverige,Parken,EM-kvalifikationskamp,Herrer,A-Landshold,42083,2007-06-02
02-06-2007,1 - 3,Rumænien,Stadion Brühl,EM-kvalifikationskamp,Herrer,U19-landshold,150,2007-06-02
02-06-2012,2 - 0,Australien,Parken,Testkamp,Herrer,A-Landshold,15888,2012-06-02
02-06-2014,0 - 4,Tyskland,Balaidos,EM-kvalifikationskamp,Herrer,U19-landshold,207,2014-06-02
02-06-2016,4 - 0,Slovakiet,Viborg Stadion,EM-kvalifikationskamp,Kvinder,A-Landshold,3412,2016-06-02
02-06-2016,4 - 3,Honduras,Suwon World Cup Stadium,Testkamp,Herrer,U21-landshold,570,2016-06-02
02-06-2018,0 - 0,Sverige,Friends Arena,Testkamp,Herrer,A-Landshold,41558,2018-06-02
02-06-2021,1 - 1,Tyskland,Tivoli Stadion,Testkamp,Herrer,A-Landshold,0,2021-06-02
02-06-2024,0 - 1,Italien,Antonis Papadopoulos Stadium,EM-slutrunde,Herrer,U17-landshold,856,2024-06-02
02-06-2024,1 - 3,Skotland,Skjern Stadion,Testkamp,Kvinder,U23-landshold,500,2024-06-02
02-07-1912,4 - 1,Holland,Stockholms Stadion,OL-slutrunde,Herrer,A-Landshold,6000,1912-07-02
02-07-1959,2 - 1,Norge,Københavns Idrætspark,OL-kvalifikationskamp,Herrer,A-Landshold,37000,1959-07-02
02-07-1988,1 - 3,Sverige,Vildbjerg Stadion,NM,Kvinder,U17-landshold,300,1988-07-02
